UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,T_diff[K],Power_load,Tool_wear_norm,Type_H,Type_L,Type_M
1889,M16748,-1.1023775442658783,-1.7561705149839903,2.455507082117204,-1.5819335358758655,0.3306941282097859,0,0,0,0,0,0,-0.4002122757014871,-1.3616767919499082,0.3306941282097858,False,False,True
4859,L52038,1.847388439764765,1.5464728796880634,-1.2174286599355848,1.1111931475272294,-0.0463622201694653,0,0,0,0,0,0,-1.3991696071580164,0.8745479229516818,-0.0463622201694656,False,True,False
8991,L56170,-1.4023537460317193,-1.419166086956232,-0.2496285741979788,-0.1597205682360292,0.5977757083117554,0,0,0,0,0,0,0.6986407889007802,-0.2611528523024526,0.5977757083117552,False,True,False
4902,M19761,1.797392406137144,1.5464728796880634,0.6711256740384934,-0.7649175757423428,1.807498159361853,0,0,0,0,0,0,-1.299273874012392,-0.7087067810009371,1.8074981593618529,False,False,True
7958,H37371,0.4474994981908892,1.276869337265834,2.455507082117204,-2.3686896456340736,-1.0204244534825309,0,0,0,0,0,0,0.9983279883377674,-2.44199781925569,-1.0204244534825313,True,False,False
7857,L55036,0.1975193300526981,1.2094684516603051,-0.6528786099219813,0.2235708698513031,-1.4760342077741262,0,0,0,0,0,0,1.397910920920436,0.0499521909825145,-1.4760342077741264,False,True,False
865,M15724,-2.0023061495633723,-2.2279767142228444,2.455507082117204,-1.7836658717113036,-0.9418710475701868,0,0,0,0,0,0,0.6986407889007802,-1.4248009896292344,-0.9418710475701872,False,False,True
5673,H35086,1.0474519017225707,1.0746666804492095,1.148304882978563,-1.3902878168322,-0.9732924099351246,0,0,0,0,0,0,-0.5001080088471117,-1.5253203819174637,-0.9732924099351248,True,False,False
6155,M21014,0.4974955318185388,0.6028604812103173,1.5784382544174989,-1.592020152667638,1.1162281873332258,0,0,0,0,0,0,-0.1005250762644999,-1.7088499757978033,1.1162281873332258,False,False,True
5061,L52240,1.997376540647685,1.8834773077158216,0.0796922883099564,0.2740039538101625,1.414731129800133,0,0,0,0,0,0,-1.1993781408667106,0.5818433753190837,1.414731129800133,False,True,False
8239,L55418,-0.452429107106576,0.2658560531825591,-0.0748868920509111,0.5362559903962312,-0.2506010755415597,0,0,0,0,0,0,1.2980151877746977,0.875706619394807,-0.2506010755415599,False,True,False
4940,L52119,1.797392406137144,1.6812746508991592,-1.6408411974457873,2.261067461789225,-0.1092049448993405,0,0,0,0,0,0,-1.099482407721086,2.0082284069716483,-0.1092049448993406,False,True,False
40,L47219,-0.6024172079894964,-0.6103554596895817,-1.2107078260068511,1.2624923994038078,0.0479018669253474,0,0,0,0,0,0,0.2990578563181685,1.080142266193418,0.0479018669253473,False,True,False
4654,M19513,1.5474122379989528,0.7376622524214513,0.4291756526040919,-0.4522324551974139,-1.491744888956595,0,0,0,0,0,0,-1.9985440060319908,-0.3348538687959495,-1.4917448889565952,False,False,True
4188,M19047,1.0974479353501918,0.4680587099992217,0.4762214901052255,-0.7043978749917112,0.9119893319611314,0,0,0,0,0,0,-1.4990653403036978,-0.7066270694363531,0.9119893319611312,False,False,True
2232,L49411,-0.3024410062236841,-0.94735988771734,-0.7738536206391821,1.6558704542829117,1.0533854626033508,0,0,0,0,0,0,-0.799795208284042,1.9646138844458003,1.0533854626033503,False,True,False
6529,L53708,0.5974875990738095,0.333256938788126,0.1065756240248899,0.0016653004323212,-0.8318962792929053,0,0,0,0,0,0,-0.6998994751384175,0.1853711240021431,-0.8318962792929057,False,True,False
9930,H39343,-0.8024013425000663,-1.082161658928474,-0.3437202492002461,-0.0790276339018536,-0.7847642357454989,0,0,0,0,0,0,-0.0006293431188186,-0.1972165767740971,-0.7847642357454991,True,False,False
7082,L54261,0.3475074309356185,0.2658560531825591,-1.1031744831471173,1.2725790161955797,1.5247058980774146,0,0,0,0,0,0,-0.3003165425558058,1.1768587573349791,1.5247058980774144,False,True,False
926,H30339,-2.202290284073914,-2.6323820278561314,0.6240798365373598,-0.9162168276189212,1.603259303989759,0,0,0,0,0,0,0.4988493226094743,-0.9722656565641516,1.6032593039897585,True,False,False
2916,L50095,0.2475153636803477,-0.3407519172673904,-1.8491870492365217,2.2308076114139097,0.472090258852005,0,0,0,0,0,0,-0.9995866745754048,1.7793710043717796,0.4720902588520047,False,True,False
9228,L56407,-1.0023854770106078,-0.6103554596895817,-0.3840452527726463,0.4353898224785122,0.2521407222974419,0,0,0,0,0,0,1.0982237214834487,0.5234629006846875,0.2521407222974416,False,True,False
8943,L56122,-1.3523577124040698,-1.1495625445340023,2.455507082117204,-2.3182565616752138,-1.1932419464896875,0,0,0,0,0,0,0.9983279883377674,-2.255219913979238,-1.193241946489688,False,True,False
1117,L48296,-1.8023220150528307,-1.823571400589519,-0.2899535777703791,-0.2505001193619761,-0.3919972061837789,0,0,0,0,0,0,0.8984322551921428,-0.4165073061768799,-0.3919972061837792,False,True,False
9911,L57090,-0.7024092752447672,-0.6777563452951486,-0.4109285884875798,0.6068623079386347,-1.633141019598814,0,0,0,0,0,0,0.398953589463793,0.753231415017613,-1.6331410195988143,False,True,False
1534,M16393,-1.0023854770106078,-0.7451572309007156,-1.2846369992229183,1.1515396146943166,-0.6276574239208109,0,0,0,0,0,0,0.898432255192086,0.8770831903827929,-0.6276574239208111,False,False,True
8512,L55691,-0.8024013425000663,-0.2059501460562947,-0.4915785956323803,0.4253032056867409,1.0533854626033508,0,0,0,0,0,0,1.2980151877747546,0.4388384467829234,1.0533854626033503,False,True,False
3397,M18256,0.6974796663290803,0.4006578243936931,-0.4781369277749135,-0.5026655391562734,-0.3291544814539037,0,0,0,0,0,0,-0.799795208284042,-0.8817189763975234,-0.3291544814539039,False,False,True
621,M15480,-0.8523973761276875,0.0636533963659348,-0.9485953027862496,0.969980512442423,-0.5176826556435293,0,0,0,0,0,0,1.7974938535030476,0.8839957554879359,-0.5176826556435296,False,False,True
5389,M20248,1.3974241371160323,1.5464728796880634,-0.6595994438507147,0.9094608116917916,1.728944753449509,0,0,0,0,0,0,-0.5001080088471117,1.0101253101857557,1.728944753449509,False,False,True
58,L47237,-0.6024172079894964,-0.6103554596895817,-0.1152118956233113,0.0319251508076365,0.8177252448663187,0,0,0,0,0,0,0.2990578563181685,0.0995978770456552,0.8177252448663185,False,True,False
3411,L50590,0.5974875990738095,0.1984551675770304,-0.5319035992047806,-0.0285945499429941,0.236430041114973,0,0,0,0,0,0,-0.8996909414297234,-0.2340670850208455,0.2364300411149729,False,True,False
3401,H32814,0.6974796663290803,0.4680587099992217,0.0393672847375562,0.4454764392702843,-0.1877583508116845,0,0,0,0,0,0,-0.6998994751384175,0.8150681722045778,-0.1877583508116848,True,False,False
5221,L52400,1.8973844733924148,2.018279078926917,0.6912881758246935,-0.7144844917834833,1.5561272604423522,0,0,0,0,0,0,-0.7997952082840988,-0.6182195211647262,1.5561272604423522,False,True,False
9909,L57088,-0.7024092752447672,-0.6777563452951486,-0.4982994295611136,0.7783347933987572,-1.6959837443286894,0,0,0,0,0,0,0.398953589463793,0.93913782211462,-1.6959837443286896,False,True,False
